,x,y
0,-300.0,0
1,-299.7,0
2,-299.4,0
3,-299.09999999999997,0
4,-298.79999999999995,0
5,-298.49999999999994,0
6,-298.19999999999993,0
7,-297.8999999999999,0
8,-297.5999999999999,0
9,-297.2999999999999,0
10,-296.9999999999999,0
11,-296.6999999999999,0
12,-296.39999999999986,0
13,-296.09999999999985,0
14,-295.79999999999984,0
15,-295.49999999999983,0
16,-295.1999999999998,0
17,-294.8999999999998,0
18,-294.5999999999998,0
19,-294.2999999999998,0
20,-293.9999999999998,0
21,-293.69999999999976,0
22,-293.39999999999975,0
23,-293.09999999999974,0
24,-292.7999999999997,0
25,-292.4999999999997,0
26,-292.1999999999997,0
27,-291.8999999999997,0
28,-291.5999999999997,0
29,-291.29999999999967,0
30,-290.99999999999966,0
31,-290.69999999999965,0
32,-290.39999999999964,0
33,-290.0999999999996,0
34,-289.7999999999996,0
35,-289.4999999999996,0
36,-289.1999999999996,0
37,-288.8999999999996,0
38,-288.59999999999957,0
39,-288.29999999999956,0
40,-287.99999999999955,0
41,-287.69999999999953,0
42,-287.3999999999995,0
43,-287.0999999999995,0
44,-286.7999999999995,0
45,-286.4999999999995,0
46,-286.1999999999995,0
47,-285.89999999999947,0
48,-285.59999999999945,0
49,-285.29999999999944,0
50,-284.99999999999943,0
51,-284.6999999999994,0
52,-284.3999999999994,0
53,-284.0999999999994,0
54,-283.7999999999994,0
55,-283.4999999999994,0
56,-283.19999999999936,0
57,-282.89999999999935,0
58,-282.59999999999934,0
59,-282.29999999999933,0
60,-281.9999999999993,0
61,-281.6999999999993,0
62,-281.3999999999993,0
63,-281.0999999999993,0
64,-280.7999999999993,0
65,-280.49999999999926,0
66,-280.19999999999925,0
67,-279.89999999999924,0
68,-279.5999999999992,0
69,-279.2999999999992,0
70,-278.9999999999992,0
71,-278.6999999999992,0
72,-278.3999999999992,0
73,-278.09999999999917,0
74,-277.79999999999916,0
75,-277.49999999999915,0
76,-277.19999999999914,0
77,-276.8999999999991,0
78,-276.5999999999991,0
79,-276.2999999999991,0
80,-275.9999999999991,0
81,-275.6999999999991,0
82,-275.39999999999907,0
83,-275.09999999999906,0
84,-274.79999999999905,0
85,-274.49999999999903,0
86,-274.199999999999,0
87,-273.899999999999,0
88,-273.599999999999,0
89,-273.299999999999,0
90,-272.999999999999,0
91,-272.69999999999897,0
92,-272.39999999999895,0
93,-272.09999999999894,0
94,-271.79999999999893,0
95,-271.4999999999989,0
96,-271.1999999999989,0
97,-270.8999999999989,0
98,-270.5999999999989,0
99,-270.2999999999989,0
100,-269.99999999999886,0
101,-269.69999999999885,0
102,-269.39999999999884,0
103,-269.09999999999883,0
104,-268.7999999999988,0
105,-268.4999999999988,0
106,-268.1999999999988,0
107,-267.8999999999988,0
108,-267.5999999999988,0
109,-267.29999999999876,0
110,-266.99999999999875,0
111,-266.69999999999874,0
112,-266.3999999999987,0
113,-266.0999999999987,0
114,-265.7999999999987,0
115,-265.4999999999987,0
116,-265.1999999999987,0
117,-264.89999999999867,0
118,-264.59999999999866,0
119,-264.29999999999865,0
120,-263.99999999999864,0
121,-263.6999999999986,0
122,-263.3999999999986,0
123,-263.0999999999986,0
124,-262.7999999999986,0
125,-262.4999999999986,0
126,-262.19999999999857,0
127,-261.89999999999856,0
128,-261.59999999999854,0
129,-261.29999999999853,0
130,-260.9999999999985,0
131,-260.6999999999985,0
132,-260.3999999999985,0
133,-260.0999999999985,0
134,-259.7999999999985,0
135,-259.49999999999847,0
136,-259.19999999999845,0
137,-258.89999999999844,0
138,-258.59999999999843,0
139,-258.2999999999984,0
140,-257.9999999999984,0
141,-257.6999999999984,0
142,-257.3999999999984,0
143,-257.0999999999984,0
144,-256.79999999999836,0
145,-256.49999999999835,0
146,-256.19999999999834,0
147,-255.89999999999833,0
148,-255.59999999999832,0
149,-255.2999999999983,0
150,-254.9999999999983,0
151,-254.69999999999828,0
152,-254.39999999999827,0
153,-254.09999999999826,0
154,-253.79999999999825,0
155,-253.49999999999824,0
156,-253.19999999999823,0
157,-252.89999999999822,0
158,-252.5999999999982,0
159,-252.2999999999982,0
160,-251.99999999999818,0
161,-251.69999999999817,0
162,-251.39999999999816,0
163,-251.09999999999815,0
164,-250.79999999999814,0
165,-250.49999999999812,0
166,-250.1999999999981,0
167,-249.8999999999981,0
168,-249.5999999999981,0
169,-249.29999999999808,0
170,-248.99999999999807,0
171,-248.69999999999806,0
172,-248.39999999999804,0
173,-248.09999999999803,0
174,-247.79999999999802,0
175,-247.499999999998,0
176,-247.199999999998,0
177,-246.899999999998,0
178,-246.59999999999798,0
179,-246.29999999999797,0
180,-245.99999999999795,0
181,-245.69999999999794,0
182,-245.39999999999793,0
183,-245.09999999999792,0
184,-244.7999999999979,0
